Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,1,4,17:20,UTC,-8.6,-0.8
2021,1,4,17:30,UTC,-8.7,-0.7
2021,1,4,17:40,UTC,-8.7,-0.7
2021,1,4,17:50,UTC,-8.8,-0.8
2021,1,4,18:00,UTC,-8.9,-0.7
2021,1,4,18:10,UTC,-8.9,-0.8
2021,1,4,18:20,UTC,-8.9,-0.5
2021,1,4,18:30,UTC,-8.9,-0.7
2021,1,4,18:40,UTC,-8.9,-0.7
2021,1,4,18:50,UTC,-8.9,-1
2021,1,4,19:00,UTC,-8.9,-0.7
2021,1,4,19:10,UTC,-8.9,-0.8
2021,1,4,19:20,UTC,-8.8,-1
2021,1,4,19:30,UTC,-8.9,-0.7
2021,1,4,19:40,UTC,-8.8,-0.6
2021,1,4,19:50,UTC,-8.8,-0.7
2021,1,4,20:00,UTC,-8.8,-0.6
2021,1,4,20:10,UTC,-8.8,-0.6
2021,1,4,20:20,UTC,-8.8,-0.8
2021,1,4,20:30,UTC,-8.7,-0.8
2021,1,4,20:40,UTC,-8.6,-0.8
2021,1,4,20:50,UTC,-8.6,-0.5
2021,1,4,21:00,UTC,-8.6,-0.8
2021,1,4,21:10,UTC,-8.5,-0.9
2021,1,4,21:20,UTC,-8.5,-1.2
2021,1,4,21:30,UTC,-8.4,-0.8
2021,1,4,21:40,UTC,-8.4,-0.7
2021,1,4,21:50,UTC,-8.3,-1
2021,1,4,22:00,UTC,-8.5,-0.8
2021,1,4,22:10,UTC,-8.6,-0.7
2021,1,4,22:20,UTC,-8.5,-0.9
2021,1,4,22:30,UTC,-8.6,-0.7
2021,1,4,22:40,UTC,-8.7,-0.6
2021,1,4,22:50,UTC,-8.6,-0.8
2021,1,4,23:00,UTC,-8.7,-0.7
