Year,m,d,Time,Time zone,Air temperature (degC),Global radiation (W/m2)
2021,5,3,12:30,UTC,9.3,524.9
2021,5,3,12:40,UTC,9.4,505
2021,5,3,12:50,UTC,9,484.7
2021,5,3,13:00,UTC,8.8,360.1
2021,5,3,13:10,UTC,9.2,392
2021,5,3,13:20,UTC,8.9,309.5
2021,5,3,13:30,UTC,9.2,365.6
2021,5,3,13:40,UTC,8.5,251.2
2021,5,3,13:50,UTC,8.6,304.5
2021,5,3,14:00,UTC,8.7,336.7
2021,5,3,14:10,UTC,8.5,250.8
2021,5,3,14:20,UTC,8.7,291.3
2021,5,3,14:30,UTC,8.6,250.4
2021,5,3,14:40,UTC,8.8,264.7
2021,5,3,14:50,UTC,8.4,220.8
2021,5,3,15:00,UTC,8.6,213.4
2021,5,3,15:10,UTC,8.5,206.6
2021,5,3,15:20,UTC,8.4,188.3
2021,5,3,15:30,UTC,8.4,176.8
2021,5,3,15:40,UTC,8.2,168.9
2021,5,3,15:50,UTC,8.2,152.4
2021,5,3,16:00,UTC,8.2,136.2
2021,5,3,16:10,UTC,8.1,117
2021,5,3,16:20,UTC,8,102.1
2021,5,3,16:30,UTC,7.9,89.2
2021,5,3,16:40,UTC,7.8,77.7
2021,5,3,16:50,UTC,7.5,67.9
2021,5,3,17:00,UTC,7.4,59.5
2021,5,3,17:10,UTC,7.3,50.1
2021,5,3,17:20,UTC,7.1,40
2021,5,3,17:30,UTC,6.9,31.7
2021,5,3,17:40,UTC,6.7,25.2
2021,5,3,17:50,UTC,6.5,19.1
2021,5,3,18:00,UTC,6.2,14.7
2021,5,3,18:10,UTC,6,10.3
2021,5,3,18:20,UTC,6,5.6
2021,5,3,18:30,UTC,5.7,1.9
2021,5,3,18:40,UTC,5.7,0.1
2021,5,3,18:50,UTC,5.5,-0.8
2021,5,3,19:00,UTC,5.3,-1.3
2021,5,3,19:10,UTC,5.1,-1.6
2021,5,3,19:20,UTC,5.1,-1.9
2021,5,3,19:30,UTC,4.8,-1.9
2021,5,3,19:40,UTC,4.6,-2
2021,5,3,19:50,UTC,4.5,-1.9
2021,5,3,20:00,UTC,4.4,-1.9
2021,5,3,20:10,UTC,4.5,-1.7
2021,5,3,20:20,UTC,4.4,-2.1
2021,5,3,20:30,UTC,4.4,-2.2
2021,5,3,20:40,UTC,3.9,-1.5
2021,5,3,20:50,UTC,3.4,-1.4
2021,5,3,21:00,UTC,3.7,-1.9
2021,5,3,21:10,UTC,3.9,-1.5
2021,5,3,21:20,UTC,4.1,-1.7
2021,5,3,21:30,UTC,4.1,-1.9
2021,5,3,21:40,UTC,3.8,-1.6
2021,5,3,21:50,UTC,3.8,-1.5
2021,5,3,22:00,UTC,3.8,-1.6
2021,5,3,22:10,UTC,3.8,-1.7
2021,5,3,22:20,UTC,3.8,-1.6
2021,5,3,22:30,UTC,3.4,-1.8
2021,5,3,22:40,UTC,3,-1.8
2021,5,3,22:50,UTC,2.8,-1.7
2021,5,3,23:00,UTC,3,-1.8
2021,5,3,23:10,UTC,2.6,-1.7
2021,5,3,23:20,UTC,2.4,-1.8
2021,5,3,23:30,UTC,1.9,-2.1
2021,5,3,23:40,UTC,1.1,-1.8
2021,5,3,23:50,UTC,0.9,-1.9
2021,5,4,0:00,UTC,0.8,-1.7
2021,5,4,0:10,UTC,0.9,-1.7
2021,5,4,0:20,UTC,0.8,-2
2021,5,4,0:30,UTC,0.3,-2
2021,5,4,0:40,UTC,0.2,-1.3
2021,5,4,0:50,UTC,0,-1.5
2021,5,4,1:00,UTC,-0.2,-1.9
2021,5,4,1:10,UTC,0.3,-1.5
2021,5,4,1:20,UTC,0.1,-1.4
2021,5,4,1:30,UTC,-0.3,-0.9
2021,5,4,1:40,UTC,-0.3,-0.1
2021,5,4,1:50,UTC,-0.5,1.4
2021,5,4,2:00,UTC,-0.5,5.1
2021,5,4,2:10,UTC,-0.2,9.4
2021,5,4,2:20,UTC,0.1,15.6
2021,5,4,2:30,UTC,0.3,22.8
2021,5,4,2:40,UTC,0.6,29.8
